House_ID,Location,Bedrooms,Bathrooms,Balconies,Area_sqft,Furnishing,Parking,Age_of_Property,Floor,Total_Floors,House_Type,Price_INR
H0001,Kolkata,4,4,3,1398,Semi-Furnished,2,14,14,12,Apartment,20132337
H0002,Mumbai,3,4,2,1387,Semi-Furnished,2,5,7,8,Independent House,2218954
H0003,Pune,5,2,2,3395,Semi-Furnished,2,26,4,19,Independent House,24140486
H0004,Kolkata,1,4,3,3854,Furnished,1,25,5,11,Independent House,16444877
H0005,Hyderabad,5,4,2,808,Semi-Furnished,0,3,8,14,Independent House,10363441
H0006,Coimbatore,1,4,0,1092,Semi-Furnished,1,7,4,5,Independent House,16578997
H0007,Pune,2,2,3,3801,Semi-Furnished,1,18,4,10,Villa,13898586
H0008,Pune,1,2,1,3312,Unfurnished,0,26,8,10,Apartment,5610891
H0009,Kolkata,4,2,3,3684,Semi-Furnished,2,4,5,10,Independent House,24545201
H0010,Bangalore,3,4,0,2257,Furnished,1,12,13,16,Apartment,8395481
H0011,Hyderabad,2,2,0,3518,Furnished,0,15,6,6,Independent House,15155894
H0012,Kolkata,1,4,0,1331,Semi-Furnished,2,0,12,12,Villa,21938848
H0013,Hyderabad,5,1,0,1729,Furnished,2,12,11,18,Villa,1727894
H0014,Hyderabad,2,4,0,2205,Unfurnished,1,21,14,19,Independent House,2561449
H0015,Coimbatore,2,3,1,3345,Semi-Furnished,2,10,5,19,Independent House,12111572
H0016,Pune,1,2,2,3770,Furnished,2,20,1,9,Independent House,4465632
H0017,Mumbai,2,2,0,1193,Furnished,0,7,7,9,Villa,12399686
H0018,Coimbatore,5,3,0,3533,Semi-Furnished,0,24,6,6,Villa,23474512
H0019,Coimbatore,2,4,3,3499,Furnished,2,7,2,8,Apartment,14096360
H0020,Hyderabad,5,1,1,1815,Semi-Furnished,0,23,11,16,Villa,15670974
H0021,Delhi,1,3,1,924,Furnished,2,27,7,13,Independent House,12583206
H0022,Pune,3,3,2,1578,Unfurnished,1,13,6,13,Apartment,10388208
H0023,Bangalore,2,4,1,2349,Furnished,0,12,5,10,Villa,13495490
H0024,Coimbatore,3,2,3,2450,Furnished,2,2,8,15,Villa,8489823
H0025,Mumbai,5,4,3,3603,Semi-Furnished,2,3,5,19,Independent House,14148382
H0026,Delhi,2,3,2,2090,Furnished,0,26,11,13,Apartment,3093603
H0027,Delhi,4,3,3,1493,Semi-Furnished,0,19,2,8,Villa,19646122
H0028,Bangalore,3,2,0,1990,Unfurnished,1,14,6,19,Villa,3623699
H0029,Coimbatore,2,2,0,3989,Semi-Furnished,2,14,14,15,Independent House,3420831
H0030,Mumbai,3,2,3,743,Semi-Furnished,1,29,12,5,Apartment,17335527
H0031,Pune,2,4,2,983,Furnished,1,26,1,6,Apartment,21081159
H0032,Chennai,1,2,1,2863,Unfurnished,1,20,5,17,Apartment,19220196
H0033,Mumbai,3,3,2,2971,Semi-Furnished,0,12,14,5,Apartment,19074334
H0034,Bangalore,4,3,1,3686,Furnished,1,8,6,12,Independent House,14231520
H0035,Delhi,4,1,3,816,Furnished,0,27,7,13,Villa,23816302
H0036,Pune,5,4,3,2115,Semi-Furnished,0,24,14,14,Villa,9133829
H0037,Mumbai,2,1,0,3598,Furnished,1,9,2,16,Apartment,21968905
H0038,Chennai,3,3,1,2830,Semi-Furnished,1,28,1,10,Apartment,12127199
H0039,Chennai,5,1,2,2917,Semi-Furnished,2,11,6,6,Apartment,13053965
H0040,Hyderabad,3,3,3,3592,Semi-Furnished,1,13,3,10,Villa,10533652
H0041,Hyderabad,2,1,2,2090,Unfurnished,2,0,5,13,Villa,6700444
H0042,Kolkata,4,2,0,3517,Semi-Furnished,1,13,12,16,Apartment,6159710
H0043,Bangalore,1,1,1,2235,Furnished,1,13,11,7,Independent House,12272967
H0044,Coimbatore,4,2,1,3114,Unfurnished,1,7,13,13,Villa,6434210
H0045,Mumbai,5,2,3,2952,Furnished,1,15,2,6,Villa,6203157
H0046,Mumbai,1,4,1,1767,Unfurnished,2,13,1,15,Apartment,15271801
H0047,Coimbatore,5,2,3,710,Unfurnished,2,0,1,9,Independent House,18700210
H0048,Kolkata,2,2,0,1613,Unfurnished,1,15,13,15,Apartment,5010251
H0049,Delhi,1,1,1,831,Unfurnished,1,17,11,6,Apartment,9639115
H0050,Delhi,5,3,3,2314,Furnished,2,6,4,11,Independent House,6375630
H0051,Kolkata,2,4,2,2355,Semi-Furnished,0,14,10,15,Independent House,10684315
H0052,Delhi,4,2,3,3242,Furnished,0,23,13,14,Independent House,6788486
H0053,Hyderabad,2,4,1,2177,Semi-Furnished,0,16,2,19,Villa,18278874
H0054,Mumbai,3,1,0,1896,Furnished,2,18,1,13,Apartment,3822723
H0055,Kolkata,2,2,1,2820,Unfurnished,2,22,6,11,Villa,11344648
H0056,Mumbai,2,1,1,1572,Unfurnished,0,12,14,16,Independent House,17646293
H0057,Coimbatore,3,4,3,1630,Semi-Furnished,0,8,4,9,Villa,8989305
H0058,Chennai,5,1,2,3826,Semi-Furnished,1,23,10,19,Independent House,20127223
H0059,Hyderabad,5,4,1,3193,Furnished,2,23,13,8,Independent House,23771871
H0060,Pune,2,1,2,3195,Semi-Furnished,2,14,12,16,Apartment,11251001
H0061,Hyderabad,3,4,3,1117,Furnished,0,24,7,8,Apartment,4104878
H0062,Kolkata,3,3,2,1513,Semi-Furnished,0,25,11,19,Apartment,8669157
H0063,Pune,4,1,3,2862,Semi-Furnished,2,2,6,14,Villa,4219771
H0064,Chennai,5,1,0,2781,Semi-Furnished,1,23,5,12,Apartment,12521212
H0065,Kolkata,1,3,2,2932,Unfurnished,0,0,10,14,Independent House,14908660
H0066,Bangalore,5,3,2,3797,Unfurnished,2,15,12,17,Apartment,24244016
H0067,Mumbai,5,1,0,2544,Furnished,2,7,13,14,Villa,14408024
H0068,Chennai,4,3,2,2062,Semi-Furnished,1,28,12,18,Apartment,7407287
H0069,Mumbai,1,2,0,2472,Furnished,1,22,12,14,Apartment,23723291
H0070,Delhi,4,4,1,3333,Semi-Furnished,0,12,12,14,Apartment,23996483
